Provider,Official status page,What it covers,Category
Anthropic Claude,https://status.claude.com/,"Claude AI, API, and web services availability",AI/ML
OpenAI,https://status.openai.com/,OpenAI API and ChatGPT availability,AI/ML
Veeam Software,https://vdcstatus.veeam.com/,Veeam Backup and Replication and cloud services,Backup
Cox,https://cox.statuspage.io,"Cox cable internet, TV, and phone services",Cable/ISP
Spectrum,https://spectrum.statuspage.io,"Spectrum cable internet, TV, and voice services",Cable/ISP
Xfinity,https://www.xfinity.com/support/status,"Xfinity cable internet, TV, and phone services",Cable/ISP
Akamai,https://www.akamaistatus.com,"CDN, DNS, security and edge services",Cloud
Amazon AWS,https://health.aws.amazon.com/health/status,"EC2, S3, RDS, Lambda, Route 53, etc.",Cloud
CDN77,https://client.cdn77.com/support/status,CDN77 content delivery network,Cloud
Cloudflare,https://www.cloudflarestatus.com/,"Cloudflare Status: DNS, CDN, Workers, R2, WARP, Zero Trust, network POPs",Cloud
DigitalOcean,https://status.digitalocean.com/,DigitalOcean cloud infrastructure,Cloud
Fastly,https://www.fastlystatus.com/,"CDN, Compute, API and edge network",Cloud
Google Cloud,https://status.cloud.google.com,GCP services by product and region,Cloud
IBM Cloud,https://cloud.ibm.com/status,IBM Cloud infrastructure/services,Cloud
Microsoft Azure,https://azure.status.microsoft/en-us/status,"Azure compute, storage, networking, and platform services",Cloud
Oracle Cloud,https://ocistatus.oraclecloud.com,OCI services by region,Cloud
ColoBlxs,https://status.coloblox.com/,ColoBlxs data center and colocation services,Colocation
Intuit Quickbooks,https://status.quickbooks.intuit.com/,"QuickBooks, TurboTax, TaxAct, ProSeries",Financial SaaS
Ramp,No dedicated page,Ramp physical/virtual cards and expense management,Financial SaaS
IRS,https://www.irs.gov,IRS e-Services and tax filing system availability,Government
SSA,https://ssa.statuspage.io,Social Security Administration online services and portals,Government
ConnectWise,https://status.connectwise.com,"ConnectWise Manage, Automate, Control, Sell",PSA
HaloPSA,https://status.haloservicesolutions.com,HaloPSA PSA platform and integrations,PSA
NinjaOne,https://status.ninjaone.com/,"RMM, patching, and remote access",RMM
Atlassian,https://status.atlassian.com/,"Jira, Confluence, Bitbucket, Trello",SaaS
Cisco Webex,https://status.webex.com/,"Webex meetings, calling, and collaboration",SaaS
Datadog,https://status.datadoghq.com,Datadog infrastructure and APM monitoring,SaaS
Docusign,https://health.docusign.com/status,Docusign eSignature and agreement cloud,SaaS
Dropbox,https://status.dropbox.com/,"Dropbox file sync, sharing, and Paper",SaaS
GitHub,https://www.githubstatus.com/,"Git, Actions, API, Packages, Copilot, Codespaces",SaaS
GitLab,https://status.gitlab.com/,"GitLab CI/CD, Registry, and SaaS platform",SaaS
Google Workspace,https://www.google.com/appsstatus/dashboard/,"Gmail, Drive, Meet, Calendar, Admin Console",SaaS
Heroku,https://status.heroku.com,Heroku platform/services,SaaS
HubSpot,https://status.hubspot.com/,HubSpot CRM and marketing platform,SaaS
Kaseya,https://status.kaseya.com/,"Kaseya VSA, Passly, and IT Complete platform",SaaS
Microsoft 365,https://status.cloud.microsoft/,"Microsoft 365 apps, services, and admin portals",SaaS
New Relic,https://status.newrelic.com/,New Relic observability platform,SaaS
Salesforce,https://status.salesforce.com/,Salesforce services and individual instances,SaaS
Scalepad,https://status.scalepad.com,Scalepad IT Asset Management and lifecycle services,SaaS
Shopify,https://www.shopifystatus.com/,Shopify e-commerce platform and APIs,SaaS
Slack,https://slack-status.com/,"Slack messaging, calls, and integrations",SaaS
Stripe,https://status.stripe.com/,Stripe payment processing and APIs,SaaS
Twilio,https://status.twilio.com/,"Twilio SMS, Voice, Verify, SendGrid",SaaS
Xero,https://status.xero.com/,"Xero accounting, invoicing, and bank feeds",SaaS
Zendesk,https://status.zendesk.com,"Zendesk Support, Guide, Chat, Sell, Talk",SaaS
Zoho,https://us.zohostatus.com/,Zoho office suite and business apps,SaaS
Zoom,https://www.zoomstatus.com/,"Zoom meetings, phone, webinars, chat",SaaS
Todyl,https://status.todyl.com,"SASE, ZTNA, SD-WAN, secure internet access",SASE
Duo Security,https://status.duo.com,"Duo MFA, Access, PhoneFactor, and Duo SSO",Security
Mimecast,https://status.mimecast.com,"Email security, archiving, and continuity",Security
Okta,https://status.okta.com/,Okta Identity Cloud and SSO,Security
Proofpoint,https://status.proofpointsa.com/,"Email security, ePO, and Threat Response",Security
AT&T,https://att.statuspage.io,"AT&T network, internet, and phone services",Telecom
Cogent,https://ecogent.cogentco.com/network-status,Cogent Communications network and internet backbone,Telecom
Lumen,https://lumen.statuspage.io/,Lumen (formerly CenturyLink) network and cloud services,Telecom
T-Mobile,https://www.t-mobile.com/support/status,T-Mobile mobile network and internet services,Telecom
Verizon,https://verizon.statuspage.io,"Verizon Fios, LTE, 5G, and enterprise network services",Telecom
Clearfly,https://status.clearfly.net/,Clearfly SIP trunking and voice services,Telephony
Servosity,https://status.servosity.com/,"Servosity backup, ImageManager, SPX, and cloud vaulting",Backup
Acronis,https://partners.acronis.com/,Acronis Cyber Protect datacenter status (partner login required),Backup
Backblaze,https://status.backblaze.com/,Backblaze B2 object storage and Computer Backup,Backup
Wasabi,https://status.wasabi.com/,Wasabi hot cloud object storage by region,Backup
Keepit,https://status.keepit.com/,"Keepit SaaS backup for M365, Entra, Salesforce",Backup
Afi.ai,https://afi.statuspage.io/,Afi backup for Microsoft 365 and Google Workspace,Backup
Pax8,https://status.pax8.com/,"Pax8 marketplace, provisioning, and billing",Distribution
Hudu,No official public status page found,Hudu IT documentation platform,Documentation
IT Glue,https://status.kaseya.com/,"IT Glue status page retired - see Kaseya status (https://status.kaseya.com/) instead",Documentation
Rewst,https://status.rewst.io/,Rewst automation platform and CRUs,Automation
Auvik,https://status.auvik.com/,"Auvik network monitoring, collectors, and SaaS management",Network Monitoring
Liongard,https://status.liongard.com/,Liongard inspectors and Roar platform,Network Monitoring
ThousandEyes,https://status.thousandeyes.com/,Cisco ThousandEyes network intelligence,Network Monitoring
